severity,line,author,rule,project,message,quickFixAvailable,tags,component,scope,textRange,key,hash,status
INFO,33,,findsecbugs:CRLF_INJECTION_LOGS,it.reply.test:test,This use of org/apache/log4j/Logger.info(Ljava/lang/Object;)V might be used to include CRLF characters into log messages,false,"[cwe,injection,owasp-a1]",it.reply.test:test:src/main/java/servlet/AccountViewServlet.java,MAIN,"{endLine:33,endOffset:73,startOffset:0,startLine:33}",AYpMV0u1uxfIKoAmFOgf,0c4fa4f44f64916733ff52dc2706f432,OPEN
MAJOR,35,,findsecbugs:REQUESTDISPATCHER_FILE_DISCLOSURE,it.reply.test:test,RequestDispatcher populated with user controlled parameters,false,["cwe"],it.reply.test:test:src/main/java/servlet/AccountViewServlet.java,MAIN,"{endLine:35,endOffset:50,startOffset:0,startLine:35}",AYpMV0u1uxfIKoAmFOgh,cada673d70d7fcb5293fe4880cafd501,OPEN
INFO,53,,findsecbugs:CRLF_INJECTION_LOGS,it.reply.test:test,This use of org/apache/log4j/Logger.info(Ljava/lang/Object;)V might be used to include CRLF characters into log messages,false,"[cwe,injection,owasp-a1]",it.reply.test:test:src/main/java/servlet/AccountViewServlet.java,MAIN,"{endLine:53,endOffset:87,startOffset:0,startLine:53}",AYpMV0u1uxfIKoAmFOgg,1378faba2ff6e2b39a9a971eee9bef49,OPEN
MAJOR,55,,findsecbugs:REQUESTDISPATCHER_FILE_DISCLOSURE,it.reply.test:test,RequestDispatcher populated with user controlled parameters,false,["cwe"],it.reply.test:test:src/main/java/servlet/AccountViewServlet.java,MAIN,"{endLine:55,endOffset:50,startOffset:0,startLine:55}",AYpMV0u1uxfIKoAmFOgi,cada673d70d7fcb5293fe4880cafd501,OPEN
INFO,99,,findsecbugs:CRLF_INJECTION_LOGS,it.reply.test:test,This use of org/apache/log4j/Logger.error(Ljava/lang/Object;)V might be used to include CRLF characters into log messages,false,"[cwe,injection,owasp-a1]",it.reply.test:test:src/main/java/servlet/AdminServlet.java,MAIN,"{endLine:99,endOffset:90,startOffset:0,startLine:99}",AYpMV0vMuxfIKoAmFOgr,df327de896eec27a285307625d7b5fef,OPEN
MAJOR,41,,findsecbugs:PATH_TRAVERSAL_IN,it.reply.test:test,This API (java/io/File.<init>(Ljava/lang/String;)V) reads a file whose location might be specified by user input,false,"[cwe,owasp-a4,wasc]",it.reply.test:test:src/main/java/servlet/FindLocationServlet.java,MAIN,"{endLine:41,endOffset:52,startOffset:0,startLine:41}",AYpMV0vEuxfIKoAmFOgq,dcd0b447eb709ebde0499d7e13694cdb,OPEN
INFO,42,,findsecbugs:CRLF_INJECTION_LOGS,it.reply.test:test,This use of org/apache/log4j/Logger.debug(Ljava/lang/Object;)V might be used to include CRLF characters into log messages,false,"[cwe,injection,owasp-a1]",it.reply.test:test:src/main/java/servlet/FindLocationServlet.java,MAIN,"{endLine:42,endOffset:58,startOffset:0,startLine:42}",AYpMV0vEuxfIKoAmFOgj,40bf417442b8b7ebbd5b768eaf69d274,OPEN
INFO,103,,findsecbugs:CRLF_INJECTION_LOGS,it.reply.test:test,This use of org/apache/log4j/Logger.debug(Ljava/lang/Object;)V might be used to include CRLF characters into log messages,false,"[cwe,injection,owasp-a1]",it.reply.test:test:src/main/java/servlet/FindLocationServlet.java,MAIN,"{endLine:103,endOffset:162,startOffset:0,startLine:103}",AYpMV0vEuxfIKoAmFOgk,52116372c39cf49bc0a29e7349006c42,OPEN
INFO,109,,findsecbugs:CRLF_INJECTION_LOGS,it.reply.test:test,This use of org/apache/log4j/Logger.debug(Ljava/lang/Object;)V might be used to include CRLF characters into log messages,false,"[cwe,injection,owasp-a1]",it.reply.test:test:src/main/java/servlet/FindLocationServlet.java,MAIN,"{endLine:109,endOffset:71,startOffset:0,startLine:109}",AYpMV0vEuxfIKoAmFOgl,e060990f470e2f0b8d19265eec2c53f2,OPEN
INFO,110,,findsecbugs:CRLF_INJECTION_LOGS,it.reply.test:test,This use of org/apache/log4j/Logger.debug(Ljava/lang/Object;)V might be used to include CRLF characters into log messages,false,"[cwe,injection,owasp-a1]",it.reply.test:test:src/main/java/servlet/FindLocationServlet.java,MAIN,"{endLine:110,endOffset:71,startOffset:0,startLine:110}",AYpMV0vEuxfIKoAmFOgm,be165de0dd1546f29c2b18f3ab435cce,OPEN
INFO,114,,findsecbugs:CRLF_INJECTION_LOGS,it.reply.test:test,This use of org/apache/log4j/Logger.debug(Ljava/lang/Object;)V might be used to include CRLF characters into log messages,false,"[cwe,injection,owasp-a1]",it.reply.test:test:src/main/java/servlet/FindLocationServlet.java,MAIN,"{endLine:114,endOffset:65,startOffset:0,startLine:114}",AYpMV0vEuxfIKoAmFOgn,2f3a5fe8ff909927fa1ebe68930689d2,OPEN
INFO,115,,findsecbugs:CRLF_INJECTION_LOGS,it.reply.test:test,This use of org/apache/log4j/Logger.debug(Ljava/lang/Object;)V might be used to include CRLF characters into log messages,false,"[cwe,injection,owasp-a1]",it.reply.test:test:src/main/java/servlet/FindLocationServlet.java,MAIN,"{endLine:115,endOffset:65,startOffset:0,startLine:115}",AYpMV0vEuxfIKoAmFOgo,b05059e884ba39e72b83f874a743a140,OPEN
INFO,116,,findsecbugs:CRLF_INJECTION_LOGS,it.reply.test:test,This use of org/apache/log4j/Logger.debug(Ljava/lang/Object;)V might be used to include CRLF characters into log messages,false,"[cwe,injection,owasp-a1]",it.reply.test:test:src/main/java/servlet/FindLocationServlet.java,MAIN,"{endLine:116,endOffset:65,startOffset:0,startLine:116}",AYpMV0vEuxfIKoAmFOgp,1c8fb276ea63b59ef5a46b589e198626,OPEN
INFO,61,,findsecbugs:CRLF_INJECTION_LOGS,it.reply.test:test,This use of org/apache/log4j/Logger.error(Ljava/lang/Object;)V might be used to include CRLF characters into log messages,false,"[cwe,injection,owasp-a1]",it.reply.test:test:src/main/java/servlet/LoginServlet.java,MAIN,"{endLine:61,endOffset:95,startOffset:0,startLine:61}",AYpMV0vjuxfIKoAmFOgw,fa334b96a494825cc6a531c93f13571a,OPEN
MAJOR,36,,findsecbugs:REQUESTDISPATCHER_FILE_DISCLOSURE,it.reply.test:test,RequestDispatcher populated with user controlled parameters,false,["cwe"],it.reply.test:test:src/main/java/servlet/RedirectServlet.java,MAIN,"{endLine:36,endOffset:46,startOffset:0,startLine:36}",AYpMV0vSuxfIKoAmFOgs,cada673d70d7fcb5293fe4880cafd501,OPEN
